asset,bytes
/_next/static/css/8eec7a24edb358fd.css,47218
/_next/static/chunks/webpack-49381664f7f53ff0.js,3416
/_next/static/chunks/87c73c54-0375ba195de27293.js,173018
/_next/static/chunks/18-3c6bdb50985778b1.js,171608
/_next/static/chunks/main-app-d271b8035d41d50d.js,552
/_next/static/chunks/14aeac6e-a7ba07a1a526e423.js,171865
/_next/static/chunks/277ccffe-1043fd29126cd511.js,83824
/_next/static/chunks/378-1f8cc0a22099c799.js,141265
/_next/static/chunks/289-f8a2d742974d77bb.js,20137
/_next/static/chunks/664-6d821dc1aacb6b48.js,8532
/_next/static/chunks/597-8d1d79bd9aa6da1d.js,33891
/_next/static/chunks/app/layout-ab84d8f7630bf228.js,25432
/_next/static/chunks/399-5437117604c73b10.js,6959
/_next/static/chunks/app/page-7b361e2fc866121e.js,8204
/_next/static/chunks/polyfills-42372ed130431b0a.js,112594
TOTAL_REFERENCED,1008515
